Category,,,,,,User_query,Chatbot_response 
,2.7,การทำงานกับไดร์ฟ ไฟล์ และโฟลเดอร์,,,,,
,,2.7.1,การแสดงข้อมูลในโฟลเดอร์ Document,,,,
,,,2.7.1.1,ขั้นตอนการแสดงข้อมูลในโฟลเดอร์ Document,,,
,,2.7.2,การแสดงข้อมูลในไดรฟ์ต่าง ๆ,,,,
,,,2.7.2.1,ขั้นตอนการแสดงข้อมูลในไดรฟ์ต่าง ๆ,,,
,,2.7.3,การแสดงรายการไฟล์ในรูปแบบต่าง ๆ,,,,
,,,2.7.3.1,ขั้นตอนการแสดงรายการไฟล์ในรูปแบบต่าง ๆ,,,
,,2.7.4,การจัดการไฟล์และโฟลเดอร์,,,,
,,,2.7.4.1,ความหมายของไฟล์,,,
,,,2.7.4.2,ความหมายของโฟลเดอร์,,,
,,,2.7.4.3,ขั้นตอนการสร้างโฟลเดอร์,,,
,,,2.7.4.4,ขั้นตอนการเปลี่ยนชื่อไฟล์และโฟลเดอร์,,,
,,,2.7.4.5,ขั้นตอนการเลือกไฟล์และโฟลเดอร์,,,
,,,2.7.4.6,ขั้นตอนการคัดลอกไฟล์หรือโฟลเดอร์,,,
,,,,2.7.4.6.1,การคัดลอกไฟล์ที่มีชื่อเดียวกันอยู่ในไดรฟ์หรือโฟลเดอร์ปลายทาง,,
,,,2.7.4.7,ขั้นตอนการย้ายไฟล์หรือโฟลเดอร์,,,
,,,2.7.4.8,ขั้นตอนการลบไฟล์หรือโฟลเดอร์,,,
,,,2.7.4.9,ขั้นตอนการค้นหาไฟล์,,,
3,การใช้งานอินเทอร์เน็ต,,,,,,
,3.1,ความรู้ทั่วไปเกี่ยวกับอินเทอร์เน็ต,,,,,
,,3.1.1,ความหมายของอินเทอร์เน็ต,,,,
,,3.1.2,วิธีการในการติดต่อบนระบบบอินเทอร์เน็ต,,,,
,,3.1.3,โปรโตคอลที่เชื่อมต่ออยู่ในอินเทอร์เน็ต,,,,
,,3.1.4,ความหมายของโดเมนเนม,,,,
,,,3.1.4.1,โดเมนเนม 2 ระดับ,,,
,,,3.1.4.2,โดเมนเนม 3 ระดับ,,,
,,,3.1.4.3,โดเมนเนมที่ใช้กำหนดประเภทขององค์กร,,,
,,,3.1.4.4,โดเมนเนมที่เป็นชื่อประเทศ,,,
,,,3.1.4.5,ขั้นตอนการจดทะเบียนเพื่อใช้งานโดเมนเนม,,,
,,3.1.5,ลักษณะของการเชื่อมต่ออินเทอร์เน็ต,,,,
,,,3.1.5.1,การเชื่อมต่อส่วนบุคคล,,,
,,,3.1.5.2,การเชื่อมต่อแบบองค์กร,,,
,,3.1.6,ความเร็วในการเชื่อมต่ออินเทอน์เน็ต,,,,
,,,3.1.6.1,ความเร็วดาวน์โหลด,,,
,,,3.1.6.2,ความเร็วอัปโหลด,,,
,,,3.1.6.3,การกำหนดความเร็วของผู้ให้บริการ,,,
,,,3.1.6.4,ลักษณะการให้บริการของอินเทอร์เน็ตบ้าน,,,
,,,3.1.6.5,ลักษณะการให้บริการของอินเทอร์เน็ตองค์กร,,,
,3.2,บริการคลาวด์ในอินเทอร์เน็ต,,,,,
,,3.2.1,ความแตกต่างของบริการอินเทอร์เน็ตในยุคเก่าและยุคปัจจบัน,,,,
,,3.2.2,ความหมายของการให้บริการคลาวด์ในอินเทอร์เน็ต,,,,
,,3.2.3,ลักษณะของการให้บริการคลาวด์ในอินเทอร์เน็ต,,,,
,,3.2.4,ความสำคัญของการให้บริการคลาวด์ในอินเทอร์เน็ต,,,,
,,3.2.5,ข้อดีของของการให้บริการคลาวด์ในอินเทอร์เน็ต,,,,
,,3.2.6,ข้อสังเกตุของของการให้บริการคลาวด์ในอินเทอร์เน็ต,,,,
,,3.2.7,การจำแนกบริการคลาวด์คอมพิวติง,,,,
,,,3.2.7.1,ความหมายของ Software as a Service (SaaS),,,
,,,3.2.7.2,ความหมายของ Infrastructure as a Service (IaaS),,,
,,,3.2.7.3,ความหมายของ Platform as a Service (PaaS),,,
,3.3,การค้นหาข้อมูลในอินเทอร์เน็ต,,,,,
,,3.3.1,ลักษณะการค้นหาแบบ Search Engine,,,,
,,,3.3.1.1,ขัั้นตอนการค้นหาข้อมูลผ่านเว็บไซต์ (Search Engine) ด้วย google,,,
,,,3.3.1.2,เทคนิคการกำหนดรูปแบบการค้นหา,,,
,,3.3.2,ลักษณะการค้นหาแบบ Search Directories,,,,
,,3.3.3,ลักษณะการค้นหาแบบ Intelligent Search,,,,
,,,3.3.3.1,การค้นหาข้อมูลบนอุปกรณ์เคลื่อนที่,,,
,,,,3.3.3.1.1,3.3.3.2,,
,,,,3.3.3.1.2,ขั้นตอนการค้นหาข้อมูลด้วยภาพ,,
,,,3.3.3.2,การค้นหาข้อมูลด้วย AI,,,
,,,,3.3.3.2,ขั้นตอนการค้นหาข้อมูลด้วย AI ด้วย ChatGPT,,
,3.4,การลงทะเบียนบัญชี google,,,,,
,,3.4.1,ความสำคัญของการมีบัญชี google,,,,
,,3.4.2,ขั้นตอนการลงทะเบียนบัญชี google,,,,
,3.5,การใช้งานไปรษณีย์อิเล็กทรอนิกส์,,,,,
,,3.5.1,ความสำคัญของไปรษณีย์อิเล็กทรอนิกส์,,,,
,,3.5.2,ลักษณะการทำงานของ Gmail,,,,
,,3.5.3,ขั้นตอนการเข้าใช้ไปรษณีย์อิเล็กทรอนิกส์ Gmail,,,,
,,,3.5.3.1,เมนูของ Gmail,,,
,,,3.5.3.2,ขั้นตอนการปรับแต่งให้แสดงเป็นภาษาไทย,,,
,,,3.5.3.3,ขั้นตอนการเขียนจดหมาย,,,
,,,3.5.3.4,การออกจากระบบเมื่อเลิกใช้งาน,,,
,3.6,การใช้แอปพลิเคชั่นพื้นฐานบนอุปกรณ์เคลื่อนที่,,,,,
,,3.6.1,แอปพลิเคชั่น Gmail,,,,
,,,3.6.1.1,ขั้นตอนการใช้งานแอปพลิเคชั่น Gmail บนอุปกรณ์เคลื่อนที่ระบบปฏิบัติการ android,,,
,,,3.6.1.2,ขั้นตอนการใช้งานแอปพลิเคชั่น Gmail บนอุปกรณ์เคลื่อนที่ระบบปฏิบัติการ ios,,,
,,3.6.2,แอปพลิเคชั่น Youtube,,,,
,,,3.6.2.1,ลักษณะการทำงานของ Youtube,,,
,,,3.6.2.2,ขั้นตอนการใช้งานแอปพลิเคชั่น Youtube บนอุปกรณ์เคลื่อนที่ระบบปฏิบัติการ android,,,
,,,3.6.2.3,ขั้นตอนการใช้งานแอปพลิเคชั่น Youtube บนอุปกรณ์เคลื่อนที่ระบบปฏิบัติการ ios,,,
,,3.6.3,แอปพลิเคชั่น Google Calendar,,,,
,,,3.6.3.1,ลักษณะการทำงานของ Google Calendar,,,
,,,3.6.3.2,ขั้นตอนการใช้งานแอปพลิเคชั่น Google Calendar บนอุปกรณ์เคลื่อนที่ระบบปฏิบัติการ android,,,
,,,3.6.3.3,ขั้นตอนการใช้งานแอปพลิเคชั่น Google Calendar บนอุปกรณ์เคลื่อนที่ระบบปฏิบัติการ ios,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
